id_detalle,id_venta,id_producto,cantidad,precio_unitario_historico
1,1,18,5,4,00
2,2,15,6,1,50
3,3,15,7,1,50
4,4,17,3,4,00
5,5,6,5,6,00
6,6,19,11,3,00
7,7,19,1,3,00
8,8,2,9,6,00
9,9,6,1,6,00
10,10,20,9,3,00
11,11,8,1,6,00
12,12,4,9,6,00
13,13,17,14,4,00
14,14,11,6,5,50
15,15,1,9,10,50
16,16,1,9,10,50
17,17,7,11,2,50
18,18,13,2,4,50
19,19,2,1,6,00
20,20,3,12,2,50
21,21,16,4,4,00
22,22,15,2,1,50
23,23,1,9,10,50
24,24,4,2,6,00
25,25,17,3,4,00
26,26,12,14,2,00
27,27,7,6,2,50
28,28,13,2,4,50
29,29,1,10,10,50
30,30,1,14,10,50
31,31,3,3,2,50
32,32,19,14,3,00
33,33,14,6,1,50
34,34,3,10,2,50
35,35,18,5,4,00
36,36,16,10,4,00
37,37,14,10,1,50
38,38,19,12,3,00
39,39,11,15,5,50
40,40,12,2,2,00
41,41,20,2,3,00
42,42,19,13,3,00
43,43,14,13,1,50
44,44,16,5,4,00
45,45,15,11,1,50
46,46,13,6,4,50
47,47,13,1,4,50
48,48,14,14,1,50
49,49,16,8,4,00
50,50,18,4,4,00
51,51,14,13,1,50
52,52,19,13,3,00
53,53,11,13,5,50
54,54,16,15,4,00
55,55,14,5,1,50
56,56,4,9,6,00
57,57,14,2,1,50
58,58,7,5,2,50
59,59,17,14,4,00
60,60,13,6,4,50
61,61,1,15,10,50
62,62,2,5,6,00
63,63,15,12,1,50
64,64,3,9,2,50
65,65,2,15,6,00
66,66,16,11,4,00
67,67,10,4,2,00
68,68,7,15,2,50
69,69,4,15,6,00
70,70,11,7,5,50
71,71,3,7,2,50
72,72,16,4,4,00
73,73,12,13,2,00
74,74,16,10,4,00
75,75,11,4,5,50
76,76,6,15,6,00
77,77,8,13,6,00
78,78,8,9,6,00
79,79,6,5,6,00
80,80,15,12,1,50
81,81,8,2,6,00
82,82,14,13,1,50
83,83,18,6,4,00
84,84,15,11,1,50
85,85,5,5,10,50
86,86,19,7,3,00
87,87,13,5,4,50
88,88,10,11,2,00
89,89,10,7,2,00
90,90,4,8,6,00
91,91,16,13,4,00
92,92,5,15,10,50
93,93,20,11,3,00
94,94,19,12,3,00
95,95,6,2,6,00
96,96,3,4,2,50
97,97,13,5,4,50
98,98,15,6,1,50
99,99,8,13,6,00
100,100,17,1,4,00
101,101,7,7,2,50
102,102,11,2,5,50
103,103,4,7,6,00
104,104,17,1,4,00
105,105,16,9,4,00
106,106,7,12,2,50
107,107,4,10,6,00
108,108,7,9,2,50
109,109,16,3,4,00
110,110,2,10,6,00
111,111,7,4,2,50
112,112,20,1,3,00
113,113,2,5,6,00
114,114,7,15,2,50
115,115,5,5,10,50
116,116,3,4,2,50
117,117,4,1,6,00
118,118,9,11,5,50
119,119,6,4,6,00
120,120,16,4,4,00
121,121,13,1,4,50
122,122,6,8,6,00
123,123,3,2,2,50
124,124,17,15,4,00
125,125,5,5,10,50
126,126,17,8,4,00
127,127,18,10,4,00
128,128,11,14,5,50
129,129,7,5,2,50
130,130,11,14,5,50
131,131,9,7,5,50
132,132,13,13,4,50
133,133,4,1,6,00
134,134,2,5,6,00
135,135,17,2,4,00
136,136,8,4,6,00
137,137,9,4,5,50
138,138,4,15,6,00
139,139,10,6,2,00
140,140,8,3,6,00
141,141,13,11,4,50
142,142,6,14,6,00
143,143,19,13,3,00
144,144,14,6,1,50
145,145,12,2,2,00
146,146,9,8,5,50
147,147,10,1,2,00
148,148,3,11,2,50
149,149,5,5,10,50
150,150,16,6,4,00
151,151,5,6,10,50
152,152,1,8,10,50
153,153,9,8,5,50
154,154,1,15,10,50
155,155,10,2,2,00
156,156,17,4,4,00
157,157,19,9,3,00
158,158,19,3,3,00
159,159,7,8,2,50
160,160,17,13,4,00
161,161,5,6,10,50
162,162,1,9,10,50
